,season,Week,home,away,favorite,homeML,awayML,favorite_odds
DET_GB,2017,9,DET,GB,DET,-140.0,120.0,0.562043795620438
OAK_MIA,2017,9,OAK,MIA,OAK,-170.0,145.0,0.6067006554989074
KC_DAL,2017,9,KC,DAL,DAL,120.0,-140.0,0.562043795620438
ARI_SF,2017,9,ARI,SF,ARI,-135.0,115.0,0.552594002855783
WAS_SEA,2017,9,WAS,SEA,SEA,350.0,-450.0,0.7864077669902912
ATL_CAR,2017,9,ATL,CAR,ATL,-155.0,135.0,0.5882115462252725
IND_HOU,2017,9,IND,HOU,HOU,210.0,-260.0,0.6912521440823327
CIN_JAC,2017,9,CIN,JAC,JAC,210.0,-260.0,0.6912521440823327
TB_NO,2017,9,TB,NO,NO,260.0,-330.0,0.7342398022249692
LAR_NYG,2017,9,LAR,NYG,LAR,-270.0,220.0,0.7001620745542949
DEN_PHI,2017,9,DEN,PHI,PHI,260.0,-330.0,0.7342398022249692
BAL_TEN,2017,9,BAL,TEN,TEN,140.0,-160.0,0.5962732919254659
BUF_NYJ,2017,9,BUF,NYJ,BUF,-185.0,155.0,0.6233894945490586
